,RxDevice,FileId,TxDevice,Gentime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,PathCount,RadiusOfCurve,Confidence,DHeading,class
752674,2112,1292839-B,2112,2.92774E+14,-18481,62,12643,42.3273201,-84.42902374,260.7999878,31.57999992,180.7749939,5.570000172,20.01000023,-0.039999999,1.940000057,2,3276.699951,42,0.875,A2
755075,2112,1292839-B,2112,2.92774E+14,-2327,75,15044,42.27185822,-84.42701721,258.7999878,15.53999996,156.4250031,5.260000229,20.01000023,0,9.31000042,4,222.6000061,34,5.025009155,A2
321772,2068,1496299,2068,2.92774E+14,13973,69,4257,42.27030182,-83.73448944,219,6.360000134,86.97499847,5.289999962,20.01000023,-0.300000012,4.849999905,12,-322.6000061,28,3.050003052,A2
321773,2068,1496299,2068,2.92774E+14,13973,70,4258,42.27030182,-83.73448181,219,6.519999981,87.125,5.619999886,20.01000023,-0.340000004,5.800000191,12,3276.699951,25,3.574996948,A2
326810,2068,1496300,2068,2.92775E+14,28755,64,1974,42.27312851,-83.7203064,228.6000061,6.840000153,279.1625061,5.46999979,20.01000023,-2,4.639999866,17,31.5,36,18.0375061,A2
2110489,2321,1595341,2321,2.92771E+14,-23155,50,5020,42.23123169,-83.68522644,221.3000031,24.92000008,358.7000122,6.5,20.01000023,0,-0.01,2,3276.699951,84,0.987487793,A2
2110490,2321,1595341,2321,2.92771E+14,-23155,51,5021,42.23125076,-83.68522644,221.3000031,25.39999962,358.6499939,6.539999962,20.01000023,0,-0.289999992,2,3276.699951,65,1,A2
427482,2087,1828791,2087,2.92771E+14,5171,99,6445,42.17139053,-83.68476105,209.5,33.04000092,181.3999939,8.380000114,20.01000023,-0.140000001,1.529999971,3,542.7000122,34,3.212493896,A2
545513,2087,1828794,2087,2.92805E+14,-13583,90,61267,42.22042847,-83.44023895,160.3999939,36.15999985,269.75,6.610000134,20.01000023,-0.400000006,1.830000043,3,1214.699951,84,2.350006104,A2
545514,2087,1828794,2087,2.92805E+14,-13583,91,61268,42.22042847,-83.4402771,160.3000031,36.20000076,270.1749878,5.5,20.01000023,-0.360000014,2.180000067,3,1113.800049,81,2.724975586,A2
